name,issuer_name,our_take,pros,cons,bonus_offer,redeem,rewards_rate,offer_link,toc_link,credit_card_terms,fb_horizontal_link,score,problem_resolution,over_limit_fee,penalty_apr,score_response,billing_and_payment_quality,cash_advance_apr,short_name,overall_satisfaction,annual_fee,balance_transfer_fee,credit_score,customer_service,late_payment_fee,minimum_interest_charge_apr,similar_cards,rewards_quality,issuer_phrase,returned_check_fee,foreign_transaction_fee,returned_payment_fee,cash_advance_fee,purchase_apr,image_link,balance_transfer_apr,fb_square_link
ABOC Platinum Rewards Card,ABOC, simple cash back rewards card from a small bank. , No annual fee, Has foreign transaction fee.," Earn 10,000 Bonus Rewards Points after you spend $1,000 on purchases within the first 90 days from account opening. ~10k points after spending $1k.~", Unlimited Rewards Points that don't expire.,"A rewards rate value of Earn Rewards Points on every purchase, every time. It's simple. $1 purchases = 1 Rewards Point. ~1 point per dollar spent.~",https://www.aboc.com/personal-credit-cards.aspx,https://www.aboc.com/ABOC-Platinum-Disclosures.aspx,About average. ,,82,About average. ,ABOC does not disclose the over limit fee for the ABOC Platinum Rewards Card.,ABOC does not disclose the penalty A P R for the ABOC Platinum Rewards Card.,"82 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,ABOC does not disclose the cash advance A P R for the ABOC Platinum Rewards Card.,ABOC Platinum Card,About average. ,No annual fee.,ABOC does not disclose the balance transfers fee for the ABOC Platinum Rewards Card.,No recommended credit score range.,About average. ,A late payment fee of up to $35.,ABOC does not disclose the minimum interest charge for the ABOC Platinum Rewards Card.,"[{'S': 'Chase Sapphire Preferred Card'}, {'S': 'BankAmericard Credit Card'}, {'S': 'Capital One Quicksilver Cash Rewards Credit Card'}]",About average. ,ABOC issues ABOC Platinum Rewards Card,ABOC does not disclose the returned check fee for the ABOC Platinum Rewards Card.,ABOC does not disclose the foreign transaction fee for the ABOC Platinum Rewards Card.,ABOC does not disclose the returned payment fee for the ABOC Platinum Rewards Card.,ABOC does not disclose the cash advances fee for the ABOC Platinum Rewards Card.,"A purchase A P R of 0% for 12 months. After that, 13.90% to 23.90%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/ABOC+Platinum+Rewards+Card.jpg,ABOC does not disclose the balance transfer A P R for the ABOC Platinum Rewards Card.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/ABOC+Platinum+Rewards+Card.jpg
ABOC Standard Secured,ABOC," secured card with rewards, but it's a small bank. ", No annual fee; 0% Intro APR for 12 months for purchases; has rewards program, Has foreign transaction fees; small bank.,None.,The ABOC Standard Secured information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,https://www.aboc.com/personal-credit-cards.aspx,https://www.aboc.com/ABOC-Platinum-Disclosures.aspx,About average. ,,75,About average. ,ABOC does not disclose the over limit fee for the ABOC Standard Secured.,ABOC does not disclose the penalty A P R for the ABOC Standard Secured.,"75 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,ABOC does not disclose the cash advance A P R for the ABOC Standard Secured.,ABOC Secured,About average. ,No annual fee.,ABOC does not disclose the balance transfers fee for the ABOC Standard Secured.,No recommended credit score range.,About average. ,A late payment fee of up to $35.,ABOC does not disclose the minimum interest charge for the ABOC Standard Secured.,"[{'S': 'Discover It Secured Card'}, {'S': 'Navy Federal nRewards Secured Credit Card'}, {'S': 'Capital One Secured MasterCard'}]",About average. ,ABOC issues ABOC Standard Secured,ABOC does not disclose the returned check fee for the ABOC Standard Secured.,ABOC does not disclose the foreign transaction fee for the ABOC Standard Secured.,ABOC does not disclose the returned payment fee for the ABOC Standard Secured.,ABOC does not disclose the cash advances fee for the ABOC Standard Secured.,"A purchase A P R of 0% for first 12 months. After that, 13.90% to 23.90%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/ABOC+Standard+Secured.jpg,ABOC does not disclose the balance transfer A P R for the ABOC Standard Secured.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/ABOC+Standard+Secured.jpg
Air Force FCU Visa Platinum Card,Air Force FCU," although it doesn't offer a 0% APR period, the ongoing APR is pretty low. ", Low ongoing APR; Qualify with average credit; No annual fee; limited redemption options, Small Bank.," Receive 2,500 bonus points when you get your credit card. ~2,500 bonus points.~"," You can use your points on: Airline Tickets, Hotels Reservations, Vacation & Cruise Packages and Merchandise.",None.,https://www.airforcefcu.com/personal-accounts/credit-cards/platinum-credit-card,https://assets.trabiancdn.com/api/file/NRjQSPCRRRehmsp5n36T+Visa_Schumer_June2017.1.pdf,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Air+Force+FCU+Visa+Platinum+Card.jpg,76,About average. ,A over limit fee of $25 per cycle.,Air Force FCU does not disclose the penalty A P R for the Air Force FCU Visa Platinum Card.,"76 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 8.5% to 15.5%.,Air Force FCU Card,About average. ,No annual fee.,A balance transfers fee of $2 or 2%.,A recommended credit score range of 630 to 850.,About average. ,A late payment fee of up to $37.,Air Force FCU does not disclose the minimum interest charge for the Air Force FCU Visa Platinum Card.,"[{'S': 'Chase Sapphire Preferred Card'}, {'S': 'Capital One Quicksilver Cash Rewards Credit Card'}, {'S': 'Chase Sapphire Reserve Credit Card'}]",About average. ,Air Force FCU issues Air Force FCU Visa Platinum Card,A returned check fee of $25 per occurrance.,A foreign transaction fee of 1%.,Air Force FCU does not disclose the returned payment fee for the Air Force FCU Visa Platinum Card.,A cash advances fee of $2 or 2%.,A purchase A P R of 8.5% to 15.5%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/generic+card.jpeg,A balance transfer A P R of 8.5% to 15.5%.,
Alaska Airlines Visa Signature Credit Card,Bank of America," solid card for loyal Alaska Airlines customers, otherwise just meh. ", No foreign transaction fees; Save with a free checked bag on Alaska and Virgin America flights," A high annual fee of $75 for Visa Signature accounts, or $50 for Platinum Plus accounts."," 30,000 miles equals up to a $300 discount on Alaska Airlines travel within the continental United States. Actual value may vary depending on timing of travel and destination. ~30k miles worth $300.~",The Alaska Airlines Visa Signature Credit Card information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1 mile per Dollar. ~1 mile per dollar.~,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/#rewardsCcModule,https://www.bankofamerica.com/credit-cards/terms-and-conditions/?campaignid=4016542&productoffercode=YE&locale=en_US&isMobile=true&format=ccr,Good. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Alaska+Airlines+Visa+Signature+Credit+Card.jpg,81,Good. ,Bank of America does not disclose the over limit fee for the Alaska Airlines Visa Signature Credit Card.,A penalty A P R of 29.99%.,"81 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 15.99% to 22.99%.,Alaska Airlines Visa,About average. ,"An annual fee of $75 for Visa Signature accounts, or $50 for Platinum Plus accounts.","A balance transfers fee of either $10 or 3% of the amount of each transaction, whichever is greater.",A recommended credit score range of 690 to 850.,About average. ,A late payment fee of $38.,A minimum interest charge of $1.50.,"[{'S': 'Starwood Preferred Guest Credit Card from American Express'}, {'S': 'Gold Delta SkyMiles Credit Card from American Express'}, {'S': 'Discover it Miles'}]",About average. ,Bank of America issues Alaska Airlines Visa Signature Credit Card,Bank of America does not disclose the returned check fee for the Alaska Airlines Visa Signature Credit Card.,No foreign transaction fee.,A returned payment fee of up to $27.,"A cash advances fee of either $10 or 5% of the amount of each transaction, whichever is greater.",A purchase A P R of 12.99% to 19.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Alaska+Airlines+Visa+Signature+Credit+Card.jpg,A balance transfer A P R of 12.99% to 19.99%.,
Albina Community Bank LOOP VISA Credit Card,Albina Community Bank, was a great ethical card but not offered much anymore. , Generates financial donations for select non-profit organizations; Money goes to good causes, Small Bank; Either discontinued or in the process of being stopped., None., None.,None.,http://www.albinabank.com/personal/pb_creditcard.cfm,http://www.albinabank.com/pdf_files/LOOP_Card_Agmt_10_14_10.pdf,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Albina+Community+Bank+LOOP+VISA+Credit+Card.jpg,81,About average. ,Albina Community Bank does not disclose the over limit fee for the Albina Community Bank LOOP VISA Credit Card.,Albina Community Bank does not disclose the penalty A P R for the Albina Community Bank LOOP VISA Credit Card.,"81 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,Albina Community Bank does not disclose the cash advance A P R for the Albina Community Bank LOOP VISA Credit Card.,Albina Card,Good. ,No annual fee.,Albina Community Bank does not disclose the balance transfers fee for the Albina Community Bank LOOP VISA Credit Card.,No recommended credit score range.,About average. ,A late payment fee of up to $20.,Albina Community Bank does not disclose the minimum interest charge for the Albina Community Bank LOOP VISA Credit Card.,"[{'S': 'Somerset Trust Company MasterCard with ScoreCard Rewards'}, {'S': 'Platinum Card from American Express for Mercedes-Benz'}, {'S': 'NHL Discover it Card'}]",About average. ,Albina Community Bank issues Albina Community Bank LOOP VISA Credit Card,Albina Community Bank does not disclose the returned check fee for the Albina Community Bank LOOP VISA Credit Card.,Albina Community Bank does not disclose the foreign transaction fee for the Albina Community Bank LOOP VISA Credit Card.,Albina Community Bank does not disclose the returned payment fee for the Albina Community Bank LOOP VISA Credit Card.,Albina Community Bank does not disclose the cash advances fee for the Albina Community Bank LOOP VISA Credit Card.,A purchase A P R of 11.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Albina+Community+Bank+LOOP+VISA+Credit+Card.jpg,Albina Community Bank does not disclose the balance transfer A P R for the Albina Community Bank LOOP VISA Credit Card.,
Alliant Visa Platinum Card,Alliant, a solid low-interest card from a reliable credit union. , Qualify with average credit; No annual fee; No foreign transaction fee;  0% introductory rate for 12 months; free balance transfers, No rewards., None.,The Alliant Visa Platinum Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,http://www.alliantcreditunion.org/bank/visa-platinum-card,http://www.alliantcreditunion.org/images/uploads/files/VisaCreditCardDisclosure.pdf,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Alliant+Visa+Platinum+Card.jpg,72,About average. ,Alliant does not disclose the over limit fee for the Alliant Visa Platinum Card.,Alliant does not disclose the penalty A P R for the Alliant Visa Platinum Card.,"72 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,Alliant does not disclose the cash advance A P R for the Alliant Visa Platinum Card.,Alliant Card,About average. ,No annual fee.,Alliant does not disclose the balance transfers fee for the Alliant Visa Platinum Card.,A recommended credit score range of 630 to 850.,About average. ,A late payment fee of up to $25.,Alliant does not disclose the minimum interest charge for the Alliant Visa Platinum Card.,"[{'S': 'Blue Cash Everyday Card from American Express'}, {'S': 'Discover it - Cashback Match'}, {'S': 'Blue Cash Preferred Card from American Express'}]",About average. ,Alliant issues Alliant Visa Platinum Card,Alliant does not disclose the returned check fee for the Alliant Visa Platinum Card.,Alliant does not disclose the foreign transaction fee for the Alliant Visa Platinum Card.,Alliant does not disclose the returned payment fee for the Alliant Visa Platinum Card.,Alliant does not disclose the cash advances fee for the Alliant Visa Platinum Card.,"A purchase A P R of 0% to 5.99% for the first 12 billing cycles. After that, 9.99% to 21.99%.",https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Alliant+Visa+Platinum+Card.jpg,Alliant does not disclose the balance transfer A P R for the Alliant Visa Platinum Card.,
Amazon Signature Visa Card,Amazon, the best deal for Amazon Prime members and one of the highest rated cards on our site. , No annual credit card fees; No foreign transaction fees; Cash back for every purchase including 3% at Amazon.com and 2% for gas restaurants and drugstores," You have to have an Amazon Prime membership to get the extra 5% cash back on Amazon.com purchases. If not, you get 3% back.", $50 Amazon Gift Card will be instantly loaded into your Amazon account upon the approval of your credit card application. ~$50 Amazon.com Gift Card.~," You will see your rewards balance in checkout at Amazon.com. Use your rewards to pay for part or all of your purchase. There's no minimum rewards balance to redeem.  You can also redeem for cash back, gift cards, and travel on Chase.com.","A rewards rate value of 1%. Earn 3% Back at Amazon.com. Earn 2% Back at restaurants, gas stations and drugstores. Earn 1% Back on all other purchases. ~3% at Amazon.com. 2% on dining, gas, and drugstores. 1% all others.~",https://creditcards.chase.com/credit-cards/amazon-rewards,https://applynow.chase.com/FlexAppWeb/pricing.do?card=FLDN&page_type=appterms,Excellent. ,,91,Excellent. ,Amazon does not disclose the over limit fee for the Amazon Signature Visa Card.,Amazon does not disclose the penalty A P R for the Amazon Signature Visa Card.,"91 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,A cash advance A P R of 25.74%.,Amazon Visa,Excellent. ,No annual fee.,"A balance transfers fee of either $5 or 5% of the amount of each transfer, whichever is greater.",A recommended credit score range of 690 to 850.,Excellent. ,A late payment fee of $15 if the balance is less than $100; up to $27 if the balance is $100 to less than $250; up to $37 if the balance is $250 or more.,No minimum interest charge.,"[{'S': 'Discover It Secured Card'}, {'S': 'Chase Sapphire Preferred Card'}, {'S': 'Chase Freedom'}]",Excellent. ,Amazon issues Amazon Signature Visa Card,No returned check fee.,No foreign transaction fee.,A returned payment fee of up to $37.,"A cash advances fee of either $10 or 5% of the amount of each transaction, whichever is greater.",A purchase A P R of 14.99% to 22.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Amazon+Signature+Visa+Card.jpg,A balance transfer A P R of 14.99% to 22.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Amazon+Signature+Visa+Card.jpg
American Express Gold Card for Ameriprise Financial,American Express," a luxury card geared towards those who want extra perks in travel, entertainment, and shopping. ", No foreign transaction fees; 2x points for flights and restaurants; $75 hotel credit, Has high annual fee.," Earn 25,000 Membership RewardsÂ® points after you spend $1,000 in purchases on the Card within the first 3 months of Card Membership. ~25k points after spending $1k.~"," Redeem for tickets, hotels, and other items on Amex's website.",A rewards rate value of 1.0%.   2X points for Flights booked directly with airlines.  2X points at U.S. Restaurants. 1X points on other purchases. ~2x points on directly booked flights. 2x points at restaurants. 1x points all others.~,https://www262.americanexpress.com/dapply/partner/preacq/apf/preferred-rewards-gold-card/apf-006/carddetails#/cshop,https://www262.americanexpress.com/dapply/partner/preacq/apf/preferred-rewards-gold-card/apf-006/carddetails#/cshop,Good. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/American+Express+Gold+Card+for+Ameriprise+Financial.jpg,82,Excellent. ,American Express does not disclose the over limit fee for the American Express Gold Card for Ameriprise Financial.,American Express does not disclose the penalty A P R for the American Express Gold Card for Ameriprise Financial.,"82 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,American Express does not disclose the cash advance A P R for the American Express Gold Card for Ameriprise Financial.,Amex Ameriprise Gold Card,Excellent. ,"An annual fee of $0 for the first year, then $160.",American Express does not disclose the balance transfers fee for the American Express Gold Card for Ameriprise Financial.,No recommended credit score range.,Excellent. ,A late payment fee of up to $38.,American Express does not disclose the minimum interest charge for the American Express Gold Card for Ameriprise Financial.,"[{'S': 'Chase Sapphire Preferred Card'}, {'S': 'Capital One Quicksilver Cash Rewards Credit Card'}, {'S': 'Chase Sapphire Reserve Credit Card'}]",Excellent. ,American Express issues American Express Gold Card for Ameriprise Financial,American Express does not disclose the returned check fee for the American Express Gold Card for Ameriprise Financial.,No foreign transaction fee.,A returned payment fee of up to $38.,American Express does not disclose the cash advances fee for the American Express Gold Card for Ameriprise Financial.,None.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/American+Express+Gold+Card+for+Ameriprise+Financial.jpg,A balance transfer A P R of No APR - this is a charge card and you must pay it off each month.,
American Express Platinum Card for Schwab,American Express, this card is only available to clients who maintain an eligible Schwab account. , Benefits for investors, High annual fee.,None.,The American Express Platinum Card for Schwab information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,http://www.schwab.com/public/schwab/investing/accounts_products/credit_cards,https://www.schwab.com/public/schwab/investing/accounts_products/credit_cards/rates_and_fees_platinum.html,Good. ,,75,Excellent. ,American Express does not disclose the over limit fee for the American Express Platinum Card for Schwab.,American Express does not disclose the penalty A P R for the American Express Platinum Card for Schwab.,"75 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",Excellent at handling billing and accepting payments. ,American Express does not disclose the cash advance A P R for the American Express Platinum Card for Schwab.,Schwab Card,Excellent. ,An annual fee of $550.,American Express does not disclose the balance transfers fee for the American Express Platinum Card for Schwab.,No recommended credit score range.,Excellent. ,A late payment fee of up to $38.,American Express does not disclose the minimum interest charge for the American Express Platinum Card for Schwab.,"[{'S': 'Chase Sapphire Preferred Card'}, {'S': 'Capital One Quicksilver Cash Rewards Credit Card'}, {'S': 'Chase Sapphire Reserve Credit Card'}]",Excellent. ,American Express issues American Express Platinum Card for Schwab,American Express does not disclose the returned check fee for the American Express Platinum Card for Schwab.,American Express does not disclose the foreign transaction fee for the American Express Platinum Card for Schwab.,American Express does not disclose the returned payment fee for the American Express Platinum Card for Schwab.,American Express does not disclose the cash advances fee for the American Express Platinum Card for Schwab.,Not Available.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/American+Express+Platinum+Card+for+Schwab.jpg,American Express does not disclose the balance transfer A P R for the American Express Platinum Card for Schwab.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/American+Express+Platinum+Card+for+Schwab.jpg
Ameriprise World MasterCard,Barclaycard, the card that was designed exclusively for Ameriprise Financial clients. , No annual fee; 0% intro APR for 15 months on balance transfers made within 45 days of account opening; Earn 1X Ameriprise Rewards points for every dollar you spend on purchases, Has foreign transaction fees; no bonus categories for higher points.,None.,The Ameriprise World MasterCard information on redeeming is on their website. Click apply now to go to the site to check it out.,None.,https://www.ameriprise.com/products-services/cash-cards-lending/credit-cards/world-mastercard/,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc32894,About average. ,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Ameriprise+World+MasterCard.jpg,71,Below average. ,Barclaycard does not disclose the over limit fee for the Ameriprise World MasterCard.,Barclaycard does not disclose the penalty A P R for the Ameriprise World MasterCard.,"71 out of 100. We looked at many cards and rated them after comparing the terms, complaint data, reviews.",About average at handling billing and accepting payments. ,A cash advance A P R of 26.24%.,Ameriprise Card,About average. ,No annual fee.,"A balance transfers fee of either $10 or 3% of the amount of each transfer, whichever is greater.",No recommended credit score range.,About average. ,A late payment fee of $37 (the amount of the fee varies by state).,No minimum interest charge.,"[{'S': 'Chase Sapphire Preferred Card'}, {'S': 'Capital One Quicksilver Cash Rewards Credit Card'}, {'S': 'Chase Sapphire Reserve Credit Card'}]",About average. ,Barclaycard issues Ameriprise World MasterCard,Barclaycard does not disclose the returned check fee for the Ameriprise World MasterCard.,A foreign transaction fee of 2%.,A returned payment fee of up to $37(the amount of the fee varies by state).,"A cash advances fee of either $10 or 5% of the amount of each cash advance, whichever is greater.",A purchase A P R of 14.99% or 16.99%.,https://s3-us-west-2.amazonaws.com/static.starbutter.com/images/card/facebook_horiz/Ameriprise+World+MasterCard.jpg,"A balance transfer A P R of 0% for the first fifteen billing cycles following each balance transfer that posts to your account within 45 days of account opening. After that, 14.99% or 16.99%.",
