All Cards in DB (131),category,low_interest,credit_union,ethical,cash_back,Balance Transfer,Business,Online Shopping,Secured,Favorite,Student,Rewards,Military,Service ,Travel,Affinity,Dining,Hotel,Faux Miles,Miles,Gas,"Starter (no cards, bot gives best secured/student)"
ABOC Platinum Rewards Card,,ABOC Platinum Rewards Card,BECU Cash Back Visa credit card,Albina Community Bank LOOP VISA Credit Card,Alliant Visa Platinum Card,BankAmericard Credit Card,Bank of America Business Advantage Cash Rewards Mastercard Credit Card,Amazon Signature Visa Card,ABOC Standard Secured,Amex EveryDay Credit Card from American Express,Citi ThankYou Preferred Card for College Students,ABOC Platinum Rewards Card,,Amazon Signature Visa Card,Banco Popular Avianca Vida,Albina Community Bank LOOP VISA Credit Card,Blue Cash Everyday Card from American Express,Barclay Choice Privileges Visa Signature Card,BankAmericard Travel Rewards Credit Card,Alaska Airlines Visa Signature Credit Card,BP Visa Credit Card,
Air Force FCU Visa Platinum Card,,BankAmericard Credit Card,Air Force FCU Visa Platinum Card,Beneficial State VISA Platinum Credit Card,Amex EveryDay Credit Card from American Express,Blue Cash Everyday Card from American Express,Blue for Business Credit Card from American Express,Capital One Platinum Credit Card,Berkshire Bank primor Secured Visa Classic,Blue Cash Everyday Card from American Express,Discover it chrome for Students,Air Force FCU Visa Platinum Card,Chase Sapphire Reserve Credit Card,Capital One QuicksilverOne Cash Rewards Credit Card,Banco Popular Avianca Vuela,Beneficial State VISA Platinum Credit Card,Blue Cash Preferred Card from American Express,Barclay Wyndham Rewards Visa Card,Capital One VentureOne Rewards Credit Card,Banco Popular Avianca Vida,Chevron and Texaco Advantage Visa Card,
Alaska Airlines Visa Signature Credit Card,,Chase Freedom,Navy Federal nRewards Secured Credit Card,Somerset Trust Company MasterCard with ScoreCard Rewards,Bank of America Business Advantage Cash Rewards Mastercard Credit Card,Chase Slate,Business Green Rewards Card from American Express,Chase Freedom,Berkshire Bank primor Secured Visa Gold,Citi Prestige,Discover it for Students,American Express Gold Card for Ameriprise Financial,Marine Federal Credit Union Visa Platinum ScoreCard,Discover it - Cashback Match,Bank of America Asiana Visa Signature Card,Commerce Bank Kansas City Royals with Rewards,Capital One Premier Dining Rewards Credit Card,Chase Ritz-Carlton Rewards Credit Card,Chase Sapphire Preferred Card,Banco Popular Avianca Vuela,Exxon Mobil Credit Card,
Alliant Visa Platinum Card,,Citi Simplicity Card - No Late Fees Ever,SDFCU Savings Secured Visa Platinum Card,Sustain Green Mastercard,BankAmericard Cash Rewards Credit Card,Citi Diamond Preferred Card,Business Platinum Card from American Express,Chase Sapphire Preferred Card,Capital One Secured MasterCard,Capital One QuicksilverOne Cash Rewards Credit Card,Golden1 Credit Union Platinum Rewards for Students,American Express Platinum Card for Schwab,Navy Federal nRewards Secured Credit Card,Discover It Secured Card,Bank of America Business Advantage Travel Rewards World Mastercard Credit Card,NHL Discover it Card,Capital One QuicksilverOne Cash Rewards Credit Card,Club Carlson Radisson Rewards Visa Signature Card,Discover it Miles,Bank of America Asiana Visa Signature Card,Shell Drive for Five Credit Card,
Amazon Signature Visa Card,,USAA Preferred Cash Rewards Visa Signature,First Tech FCU Platinum Secured MasterCard®,Susan G. Komen Credit Card,Blue Cash Everyday Card from American Express,Citi Simplicity Card - No Late Fees Ever,Capital One Spark Card for Business,Fidelity Rewards Visa Signature Card,Citi Secured Mastercard,Chase Sapphire Reserve Credit Card,Journey Student Rewards from Capital One,Ameriprise World MasterCard,Navy Federal Visa Signature Flagship Rewards Credit Card,Citi Double Cash Card,BankAmericard Travel Rewards Credit Card,Platinum Card from American Express for Mercedes-Benz,Discover it - Cashback Match,Hilton Honors Card from American Express,Premier Rewards Gold Card from American Express,Barclaycard Arrival Plus World Elite MasterCard,Fidelity Rewards Visa Signature Card,
American Express Gold Card for Ameriprise Financial,,Wells Fargo Platinum Visa Card,Navy Federal nRewards Secured Credit Card,Fidelity Rewards Visa Signature Card,Blue Cash Preferred Card from American Express,Clearpoints,Capital One Spark Cash Select for Business,U.S. Bank Cash 365 American Express Card,Discover It Secured Card,Fidelity Rewards Visa Signature Card,SelfScore Achieve MasterCard for International Students,Bank of America Business Advantage Cash Rewards Mastercard Credit Card,USAA Preferred Cash Rewards Visa Signature,Citi Diamond Preferred Card,Barclay Choice Privileges Visa Signature Card,Susan G. Komen Credit Card,Fidelity Rewards Visa Signature Card,Hilton Honors Surpass Card from American Express,Skypass Visa Secured,Barclays AAdvantage Aviator Red Mastercard,Citi Double Cash Card,
American Express Platinum Card for Schwab,,Citi Diamond Preferred Card,Schools First FCU Share-Secured Mastercard Credit Card,,Capital One Premier Dining Rewards Credit Card,PNC points Visa,Capital One Spark Miles for Business,Citi Double Cash Card,Navy Federal nRewards Secured Credit Card,Plum Card from American Express,Deserve Edu Mastercard for Students,Bank of America Business Advantage Travel Rewards World Mastercard Credit Card,USAA Secured Card Visa Platinum,,Barclaycard Arrival Plus World Elite MasterCard,Sustain Green Mastercard,Citi Double Cash Card,Hyatt Credit Card,US Bank FlexPerks Select+ American Express Card,Barclays Frontier Airlines World MasterCard,,
Ameriprise World MasterCard,,,SDFCU Savings Secured Visa Platinum Card,,Capital One Quicksilver Cash Rewards Credit Card,Schwab Investor Card from American Express,Commerce Bank Visa Business Platinum,Citi Diamond Preferred Card,SDFCU Savings Secured Visa Platinum Card,Starwood Preferred Guest Credit Card from American Express,Citi Double Cash Card,Bank of the West Platinum Rewards MasterCard Credit Card,Citi Double Cash Card,,Barclays AAdvantage Aviator Red Mastercard,,Citi Prestige,IHG Rewards Club Select Credit Card,Citi Prestige,Barclays Hawaiian Airlines World Elite MasterCard,,
Amex EveryDay Credit Card from American Express,,,Navy Federal Visa Signature Flagship Rewards Credit Card,,Capital One QuicksilverOne Cash Rewards Credit Card,Wells Fargo Platinum Visa Card,Ink Business Cash Credit Card,,USAA Secured Card Visa Platinum,USAA Preferred Cash Rewards Visa Signature,,BankAmericard Cash Rewards Credit Card,Citi Diamond Preferred Card,,Capital One Spark Miles for Business,,,Marriott Rewards Premier Credit Card,,Barclays Lufthansa Miles & More World Elite MasterCard,,
Banco Popular Avianca Vida,,,Golden1 Credit Union Platinum Rewards for Students,,Chase Freedom,,Ink Business Preferred Credit Card,,,USAA Secured Card Visa Platinum,,Business Gold Rewards Card from American Express,,,Capital One Venture Rewards Credit Card,,,mbna Best Western Rewards Mastercard,,British Airways Visa Signature Card,,
Banco Popular Avianca Vuela,,,Deserve Edu Mastercard for Students,,Chase Freedom Unlimited,,National Bank of Commerce Business Edition Card with Business Category Rewards,,,Citi Double Cash Card,,Business Green Rewards Card from American Express,,,Capital One VentureOne Rewards Credit Card,,,Starwood Preferred Guest Credit Card from American Express,,Chase Sapphire Preferred Card,,
Bank of America Asiana Visa Signature Card,,,Marine Federal Credit Union Visa Platinum ScoreCard,,Citi Double Cash Card,,National Bank of Commerce Business Edition Card with Reward Simplicity,,,Citi Prestige,,Capital One Platinum Credit Card,,,Chase Sapphire Preferred Card,,,Citi Prestige,,Chase United MileagePlus Club Card,,
Bank of America Business Advantage Cash Rewards Mastercard Credit Card,,,,,Citizens Bank Cash Back Plus World MasterCard,,Plum Card from American Express,,,,,Capital One Venture Rewards Credit Card,,,Chase United MileagePlus Club Card,,,,,Citi AAdvantage Executive World Elite Mastercard,,
Bank of America Business Advantage Travel Rewards World Mastercard Credit Card,,,,,Comerica Cash Rewards American Express Card,,SimplyCash Plus Business Credit Card from American Express,,,,,Chase Sapphire Preferred Card,,,Citi AAdvantage Executive World Elite Mastercard,,,,,CitiBusiness / AAdvantage Platinum Select World Mastercard,,
Bank of the West Platinum Rewards MasterCard Credit Card,,,,,Comerica Visa Signature Bonus Rewards,,Starwood Preferred Guest Business Credit Card from American Express,,,,,Chase Sapphire Reserve Credit Card,,,Citi Prestige,,,,,Delta Reserve Credit Card from American Express,,
BankAmericard Cash Rewards Credit Card,,,,,Commerce Bank Kansas City Royals with Rewards,,,,,,,Chase Slate,,,CitiBusiness / AAdvantage Platinum Select World Mastercard,,,,,Gold Delta SkyMiles Business Credit Card from American Express,,
BankAmericard Credit Card,,,,,Discover it - Cashback Match,,,,,,,Citi Diamond Preferred Card,,,Club Carlson Radisson Rewards Visa Signature Card,,,,,Gold Delta SkyMiles Credit Card from American Express,,
BankAmericard Travel Rewards Credit Card,,,,,Fidelity Rewards Visa Signature Card,,,,,,,Citi Double Cash Card,,,Discover it Miles,,,,,JetBlue Card,,
Barclay Choice Privileges Visa Signature Card,,,,,Schwab Investor Card from American Express,,,,,,,Citi ThankYou Preferred Card for College Students,,,Exxon Mobil Credit Card,,,,,Platinum Delta SkyMiles Business Credit Card from American Express,,
Barclay Wyndham Rewards Visa Card,,,,,SimplyCash Plus Business Credit Card from American Express,,,,,,,Citizens Bank Cash Back Plus World MasterCard,,,Gold Delta SkyMiles Business Credit Card from American Express,,,,,Southwest Rapid Rewards Premier Card,,
Barclays AAdvantage Aviator Red World Mastercard,,,,,Susan G. Komen Credit Card,,,,,,,Clearpoints,,,Gold Delta SkyMiles Credit Card from American Express,,,,,TD Bank Aeroplan Visa Signature Card,,
Barclays Frontier Airlines World MasterCard,,,,,U.S. Bank Cash 365 American Express Card,,,,,,,Comerica Visa Signature Bonus Rewards,,,mbna Best Western Rewards Mastercard,,,,,United MileagePlus Explorer Card,,
Barclays Hawaiian Airlines World Elite MasterCard,,,,,U.S. Bank Cash+ Visa Signature Card,,,,,,,Journey Student Rewards from Capital One,,,Platinum Card from American Express,,,,,US Bank Aeromexico Visa Signature Card,,
Barclays Lufthansa Miles & More World Elite MasterCard,,,,,USAA Preferred Cash Rewards Visa Signature,,,,,,,Marine Federal Credit Union Visa Platinum ScoreCard,,,Premier Rewards Gold Card from American Express,,,,,US Bank LANPASS Visa Signature Card,,
BBVA Compass Clearpoints Card,,,,,Walmart Credit Card,,,,,,,Marriott Rewards Premier Credit Card,,,Southwest Rapid Rewards Premier Card,,,,,Virgin Atlantic Black Credit Card,,
BECU Cash Back Visa credit card,,,,,Walmart Mastercard,,,,,,,National Bank of Commerce Business Edition Card with Business Category Rewards,,,Starwood Preferred Guest Credit Card from American Express,,,,,Virgin Atlantic White Credit Card,,
Berkshire Bank primor Secured Visa Classic,,,,,Wells Fargo Cash Wise Visa Card,,,,,,,Platinum Card from American Express,,,TD Bank Aeroplan Visa Signature Card,,,,,,,
