name,short_card_name,trademark_card_name,category,issuer,processor,toc_link,offer_link,agg_link,balance_transfer_apr_string,balance_transfer_apr_value,balance_transfer_apr_number,cash_advance_apr_string,cash_advance_apr_value,cash_advance_apr_number,penalty_apr_string,penalty_apr_value,penalty_apr_number,purchase_apr_string,purchase_apr_value,purchase_apr_number,paying_interest_string,paying_interest_value,minimum_interest_charge_apr_string,minimum_interest_charge_value,minmum_interest_charge_apr_number,annual_fee_string,annual_fee_value,annual_fee_number,balance_transfer_fee_string,balance_transfer_fee_value,balance_transfer_fee_number,cash_advance_fee_string,cash_advance_fee_value,cash_advance_fee_number,foreign_transaction_fee_string,foreign_transaction_fee_value,foreign_transaction_fee_number,late_payment_fee_string,late_payment_fee_value,late_payment_fee_number,returned_payment_fee_string,returned_payment_fee_value,returned_payment_fee_number,returned_check_fee_string,returned_check_fee_value,returned_check_fee_number,over_limit_fee_string,over_limit_fee_value,over_limit_fee_number,pros_string_2018,pros_value_2018,cons_string_2018,cons_value_2018,credit_score_string,credit_score_value,credit_score_low,credit_score_high,bonus_offer_string_2018,bonus_offer_value_2018,offer_details_string,offer_details_value,reward_rate_string_2018,reward_rate_value_2018,intro_apr_check_string,intro_apr_check_value,variable_apr_check_string,variable_apr_check_value,annual_fee_check_string,annual_fee_check_value,our_take_value,pros_value,cons_value,bonus_offer_value,redeem_value,rewards_rate_value
ABOC Platinum Rewards Card,ABOC Platinum Card,ABOC Platinum Rewards MasterCard®,"low_interest, rewards",ABOC,Mastercard,https://www.aboc.com/ABOC-Platinum-Disclosures.aspx,https://www.aboc.com/personal-credit-cards.aspx,https://www.nerdwallet.com/card-details/card-name/Amalgamated-Bank-of-Chicago-Platinum-Rewards,"0% introductory APR for 12 months from date of account opening. After that, your APR will be 14.65% to 24.65% based on your creditworthiness.",14.65% to 24.65%,24.65,Your APR will be 26.74%.,26.74%,26.74,,-1,-1,"0% introductory APR for 12 months from date of account opening. After that, your APR will be 14.65% to 24.65% based on your creditworthiness.",14.65% to 24.65%,24.65,Your due date is at least 25 days after the close of each billing cycle. We will not charge you interest on purchases if you pay your entire balance by the due date each month. We will begin charging interest on cash advances and balance transfers on the transaction date.,25 days,,-1,-1,None,$0,0.0,3% of each balance transfer (minimum $5),3% or $5,3.0,5% of each advance (minimum $10),5% or $10,5.0,3% of transaction amount,3%,3.0,Up to $35,$35,35.0,Up to $25,$25,25.0,,-1,-1,,-1,-1,"0% APR period on purchases
No Annual Fee
Available with good credit or better","0% APR period on purchases
No Annual Fee
Available with good credit or better","Low rewards rate
Has foreign transaction fees
3% of each balance transfer (minimum $5)","Low rewards rate
Has foreign transaction fees
3% of each balance transfer (minimum $5)",recommended credit score690850good - excellent,690 to 850,690,850,"Earn a $150 Statement Credit after you spend $1,200 on purchases within the first 90 days from account opening","Earn a $150 Statement Credit after you spend $1,200 on purchases within the first 90 days from account opening","0% Intro APR on Purchases and Balance Transfers for 12 months; after that the variable APR will be 14.65% - 24.65%, based on your creditworthiness
Earn a $150 Statement Credit after you spend $1,200 on purchases within the first 90 days from account opening
Unlimited Points That Don’t Expire
Earn Points on Every Purchase! It’s simple: $1 = 1 Point
No Annual Fee
Select Your Rewards Your Way","0% Intro APR on Purchases and Balance Transfers for 12 months; after that the variable APR will be 14.65% - 24.65%, based on your creditworthiness
Earn a $150 Statement Credit after you spend $1,200 on purchases within the first 90 days from account opening
Unlimited Points That Don’t Expire
Earn Points on Every Purchase! It’s simple: $1 = 1 Point
No Annual Fee
Select Your Rewards Your Way",1.00%,1.00%,0% Intro APR for 12 months on Purchase and Balance Transfers,0% for 12 months,"APR: 14.65% - 24.65% Variable APRCash Advance APR: 26.74%, Variable",14.65% to 24.65%,$0,$0, simple cash back rewards card from a small bank. , No annual fee, Has foreign transaction fee.,"Earn $150 Statement Credit after you spend $1,200 on purchases within the first 90 days from account opening. ~ $150 Statement Credit ~", Unlimited Rewards Points that don't expire.,"A rewards rate value of Earn Rewards Points on every purchase, every time. It's simple. $1 purchases = 1 Rewards Point. ~1 point per dollar spent.~"
Air Force FCU Visa Platinum Card,Air Force FCU Card,Air Force FCU Visa Platinum Card,rewards,Air Force FCU,Visa,https://goaffcu.com/wp-content/uploads/2018/06/Visa-Schumer_June2018.pdf,https://goaffcu.com/home-page/accounts/cards/platinum-credit-card/#overview,,"9.25% to 16.25% when you open your account, based on your creditworthiness.",9.25% to 16.25%,16.25,"9.25% to 16.25% when you open your account, based on your creditworthiness",9.25% to 16.25%,16.25,17.95%,17.95%,17.95,"9.25% to 16.25% when you open your account, based on your creditworthiness",9.25% to 16.25%,16.25,"Your due date is at least 25 days after the close of each billing cycle. We will not charge you interest on purchases if you pay your entire balance by the due date each month.For Credit Card Tips from the  Consumer Financial Protection BureauTo learn more about factors to consider when applying for or using a credit card, visit the website of the Consumer Financial Protection Bureau at  http://www.consumerfinance.gov/learnmore",25 days,,-1,-1,None,$0,0.0,"Either $2 or 2% of the amount of each transfer, whichever is greater",2% or $2,2.0,"Either $2 or 2% of the cash advance, whichever is greater",2% or $2,2.0,1% of U.S. Dollar transaction amount whether or not the transaction is charged in U.S. Dollars,1%,1.0,Up to $37 per occurence,$37,37.0,Up to $25 per occurrence,$25,25.0,,-1,-1,Up to $25 per cycle,$25,25.0,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1," although it doesn't offer a 0% APR period, the ongoing APR is pretty low. ",Low ongoing APR; Qualify with average credit; No annual fee; limited redemption options,Small Bank.," Receive 2,500 bonus points when you get your credit card. ~2,500 bonus points.~"," You can use your points on: Airline Tickets, Hotels Reservations, Vacation & Cruise Packages and Merchandise.",None.
Alaska Airlines Visa Signature Credit Card,Alaska Airlines Visa,Alaska Airlines Visa Signature® Credit Card,"miles, travel",Bank of America,Visa,https://www.bankofamerica.com/credit-cards/terms-and-conditions/?campaignid=4027208&productoffercode=2M&locale=en_US,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/#rewardsCcModule,https://www.nerdwallet.com/card-details/card-name/Bank-of-America-Alaska-Airlines-Signature,"16.74% to 24.74%, based on your creditworthiness when you open your account.",16.74% to 24.74%,24.74,"19.74% to 26.74%, based on your creditworthiness when you open your account, for Direct Deposit and Check Cash Advances, and26.74% for Bank Cash Advances. See footnote Footnote  1 for explanation.",19.74% to 26.74%,26.74,"Up to 29.99%, based on your creditworthiness.",29.99%,29.99,"16.74% to 24.74%, based on your creditworthiness when you open your account.",16.74% to 24.74%,24.74,Your due date is at least 25 days after the close of each billing cycle. We will not charge you any interest on purchases if you pay your entire balance by the due date each month.,25 days,"If you are charged interest, the charge will be no less than $1.50.",$1.50,1.5,"NOTICE: The annual fee is scheduled to be assessed before you begin using your card and will reduce the amount of credit you initially have available. For example, if you are assigned the minimum credit limit of $500, your initial available credit will be only about $425.$75",$75,75.0,"Either $10 or 3% of the amount of each transaction, whichever is greater.       • Cash Advance   Direct Deposit and Check",3% or $10,3.0,":  Either $10 or 3% of the amount of each transaction, whichever is greater.ATM, Over-the-Counter, Same-Day Online and Cash Equivalent Cash Advances:Either $10 or 5% of the amount of each transaction, whichever is greater. Overdraft Protection Cash Advance (if enrolled): $12 for each transaction.       •",3% or $10,3.0,None,0%,0.0,Up to $38       •,$38,38.0,Up to $27,$27,27.0,,-1,-1,,-1,-1,"Sign-up bonus
No foreign transaction fees
Miles don't expire on active accounts
Free checked bag","Sign-up bonus
No foreign transaction fees
Miles don't expire on active accounts
Free checked bag","Has annual fee
Requires good/excellent credit","Has annual fee
Requires good/excellent credit",recommended credit score690850good - excellent,690 to 850,690,850,"Buy 1 ticket, get 1 for just the taxes and fees with Alaska's Famous Companion Fare™ Offer. Get 30,000 bonus miles after you make $1,000 or more in purchases within the first 90 days of your account opening.","Buy 1 ticket, get 1 for just the taxes and fees with Alaska's Famous Companion Fare™ Offer. Get 30,000 bonus miles after you make $1,000 or more in purchases within the first 90 days of your account opening","SPECIAL INTRODUCTORY OFFER: Buy 1 ticket, get 1 for just the taxes and fees with Alaska's Famous Companion Fare™ Offer.
Get 30,000 bonus miles after you make $1,000 or more in purchases within the first 90 days of your account opening.
Get Alaska's Famous Companion Fare™ every year! EACH YEAR on your account anniversary get a companion fare from $121 ($99 plus taxes and fees from $22). Valid on all Alaska flights booked on alaskaair.com.
Save with a free checked bag on Alaska flights for you and up to six other guests on the same reservation.
Earn 3 miles for every $1 spent directly on Alaska Airlines purchases and 1 mile for every $1 spent on all other purchases.
Earn unlimited miles and travel with no blackout dates.
No foreign transaction fees","SPECIAL INTRODUCTORY OFFER: Buy 1 ticket, get 1 for just the taxes and fees with Alaska's Famous Companion Fare™ Offer.
Get 30,000 bonus miles after you make $1,000 or more in purchases within the first 90 days of your account opening.
Get Alaska's Famous Companion Fare™ every year! EACH YEAR on your account anniversary get a companion fare from $121 ($99 plus taxes and fees from $22). Valid on all Alaska flights booked on alaskaair.com.
Save with a free checked bag on Alaska flights for you and up to six other guests on the same reservation.
Earn 3 miles for every $1 spent directly on Alaska Airlines purchases and 1 mile for every $1 spent on all other purchases.
Earn unlimited miles and travel with no blackout dates.
No foreign transaction fees",1 mile,1 mile,N/A,None,APR: 16.74% - 24.74% Variable APRPenalty APR: up to 29.99% APRCash Advance APR: See Terms,16.74% to 24.74%,$75,$75," solid card for loyal Alaska Airlines customers, otherwise just meh. ",No foreign transaction fees; Save with a free checked bag on Alaska and Virgin America flights," A high annual fee of $75 for Visa Signature accounts, or $50 for Platinum Plus accounts."," 30,000 miles equals up to a $300 discount on Alaska Airlines travel within the continental United States. Actual value may vary depending on timing of travel and destination. ~30k miles worth $300.~",The Alaska Airlines Visa Signature Credit Card information on redeeming is on their website. Click apply now to go to the site to check it out.,A rewards rate value of 1 mile per Dollar. ~1 mile per dollar.~
Alliant Visa Platinum Card,Alliant Card,Alliant Visa® Platinum Card,cash_back,Alliant,Visa,http://www.alliantcreditunion.org/images/uploads/files/VisaCreditCardDisclosure.pdf,http://www.alliantcreditunion.org/bank/visa-platinum-card,,"0% to 5.99%  introductory APR for 12 billing cycles from the date of account opening based on your creditworthiness. After that, or if you do not qualify for the introductory rate, your APR will be 10.74% to 22.74% for Platinum 14.74% to 24.74% for Platinum Rewards based on your creditworthiness.",0% to 5.99%,5.99,19.74% to 24.74% based on your creditworthiness.,19.74% to 24.74%,24.74,"24.74% This APR will vary with the market based on the Prime Rate. This APR may be applied to your account if you make a late payment; make a payment that is returned; or do any of the above on another account that you have with us. How Long Will the Penalty APR Apply? If your APR(s) is increased for the reason stated above, the Penalty APR will apply until you make six consecutive minimum payments when due.",24.74%,24.74,"0% to 5.99% introductory APR for 12 billing cycles from the date of account opening based on your creditworthiness. After that, or if you do not qualify for the introductory rate, your APR will be 10.74% to 22.74% for Platinum",0% to 5.99%,5.99,"To avoid an additional interest charge on the balance of purchases and balance transfers, you must pay the entire balance on the billing statement by the Payment Due Date of that statement or 25 days from the statement closing date listed on that statement, whichever is longer. You will be charged interest on cash advances and balance transfers beginning on the transaction date.",25 days,"If you are charged interest, the charge will be no less than $1.00.",$1.00,1.0,None,$0,0.0,"Either $5 or 2% of the amount of each transfer, whichever is greater.",2% or $5,2.0,"Either $10 or 3% of the amount of each cash advance, whichever is greater.",3% or $10,3.0,2% of each transaction where the merchant country differs from the country of the card issuer.,2%,2.0,Up to $27.,$27,27.0,Up to $27,$27,27.0,,-1,-1,None,$0,0.0,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,a solid low-interest card from a reliable credit union.,Qualify with average credit; No annual fee; No foreign transaction fee;  0% introductory rate for 12 months; free balance transfers,No rewards.,None.,The Alliant Visa Platinum Card information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
Amazon Signature Visa Card,Amazon Visa,Amazon Rewards Visa Signature Card,"online_shopping, service",Amazon,Visa,https://applynow.chase.com/FlexAppWeb/pricing.do?card=FQWJ&page_type=appterms,https://creditcards.chase.com/credit-cards/amazon-rewards,,"15.99% to 23.99%, based on your creditworthiness.",15.99% to 23.99%,23.99,26.74%.,26.74%,26.74,,-1,-1,"15.99% to 23.99%, based on your creditworthiness.",15.99% to 23.99%,23.99,Your due date will be a minimum of 21 days after the close of each billing cycle. We will not charge you interest on purchases if you pay your entire balance by the due date each month. We will begin charging interest on balance transfers and cash advances on the transaction date.,21 days,None,$0,0.0,None,$0,0.0,"Either $5 or 5% of the amount of each transfer, whichever is greater.",5% or $5,5.0,"Either $10 or 5% of the amount of each transaction, whichever is greater.",5% or $10,5.0,None,0%,0.0,Up to $15 if the balance is less than $100; up to $27 if the balance is $100 to less than $250; up to $37 if the balance is $250 or more.,$37,37.0,Up to $37.,$37,37.0,None,$0,0.0,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,the best deal for Amazon Prime members and one of the highest rated cards on our site.,No annual credit card fees; No foreign transaction fees; Cash back for every purchase including 3% at Amazon.com and 2% for gas restaurants and drugstores," You have to have an Amazon Prime membership to get the extra 5% cash back on Amazon.com purchases. If not, you get 3% back.",$50 Amazon Gift Card will be instantly loaded into your Amazon account upon the approval of your credit card application. ~$50 Amazon.com Gift Card.~," You will see your rewards balance in checkout at Amazon.com. Use your rewards to pay for part or all of your purchase. There's no minimum rewards balance to redeem.  You can also redeem for cash back, gift cards, and travel on Chase.com.","A rewards rate value of 1%. Earn 3% Back at Amazon.com. Earn 2% Back at restaurants, gas stations and drugstores. Earn 1% Back on all other purchases. ~3% at Amazon.com. 2% on dining, gas, and drugstores. 1% all others.~"
American Express Gold Card for Ameriprise Financial,Amex Ameriprise Gold Card,The American Express® Gold Card for Ameriprise Financial,rewards,American Express,American Express,https://www262.americanexpress.com/dapply/partner/preacq/apf/preferred-rewards-gold-card/apf-006/carddetails#/cshop,https://www262.americanexpress.com/dapply/partner/preacq/apf/preferred-rewards-gold-card/apf-006/carddetails#/cshop,,,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,"$0 for the first year, then $160",$160,160.0,,-1,-1,,-1,-1,None,0%,0.0,Up to $38,$38,38.0,Up to $38,$38,38.0,,-1,-1,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1," a luxury card geared towards those who want extra perks in travel, entertainment, and shopping. ",No foreign transaction fees; 2x points for flights and restaurants; $75 hotel credit,Has high annual fee.," Earn 25,000 Membership RewardsÂ® points after you spend $1,000 in purchases on the Card within the first 3 months of Card Membership. ~25k points after spending $1k.~"," Redeem for tickets, hotels, and other items on Amex's website.",A rewards rate value of 1.0%.   2X points for Flights booked directly with airlines.  2X points at U.S. Restaurants. 1X points on other purchases. ~2x points on directly booked flights. 2x points at restaurants. 1x points all others.~
American Express Platinum Card for Schwab,Schwab Card,American Express Platinum Card® for Schwab,rewards,American Express,American Express,https://www.americanexpress.com/us/credit-cards/card-application/apply/partner/print/personal-card/csb/charles-schwab-platinum-card/ep-ADAP?print=false,http://www.schwab.com/public/schwab/investing/accounts_products/credit_cards,,,-1,-1,,-1,-1,,-1,-1,,-1,-1,,-1,,-1,-1,$550,$550,550.0,,-1,-1,,-1,-1,0% of each transaction after conversion to US dollars.,0%,0.0,"Up to $38. However, if your account does not have a Pay Over Time feature or balance and you do not pay for two billing periods in a row, your fee will be $38 or 2.99% of the past due amount, whichever is greater.",$38,38.0,Up to $38,$38,38.0,,-1,-1,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,this card is only available to clients who maintain an eligible Schwab account.,Benefits for investors,High annual fee.,None.,The American Express Platinum Card for Schwab information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
Ameriprise World MasterCard,Ameriprise Card,Ameriprise World Mastercard®,rewards,Barclaycard,Mastercard,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc32894,https://www.ameriprise.com/products-services/cash-cards-lending/credit-cards/world-mastercard/,,"0% introductory APR for the first fifteen billing cycles following each balance transfer that posts to your account within 45 days of account opening.After that, (and for balance transfers that do not post within 45 days of account opening) your APR will be 15.74% or 17.74% based on your credit worthiness.",15.74% or 17.74%,17.74,26.99%,26.99%,26.99,,-1,-1,15.74% or 17.74% based on your credit worthiness.,15.74% or 17.74%,17.74,Your due date is at least 23 days after the close of each billing cycle. We will not charge you interest on purchases if you pay your entire balance by the due date each month.,23 days,"If you are charged interest, the charge will be no less than $0.50",$0.50,0.5,World Elite card with Annual Fee: $150 (waived for Achiever Circle Elite clients)World card: $0,$150,150.0,"Either $10 or 3% of the amount of each transfer, whichever is greater.",3% or $10,3.0,"Either $10 or 5% of the amount of each cash advance, whichever is greater.",5% or $10,5.0,2% of each transaction in U.S. dollars.,2%,2.0,"Up to $37 (the amount of the fee varies by state, see below)",$37,37.0,"Up to $37 (the amount of the fee varies by state, see below)",$37,37.0,,-1,-1,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,the card that was designed exclusively for Ameriprise Financial clients.,No annual fee; 0% intro APR for 15 months on balance transfers made within 45 days of account opening; Earn 1X Ameriprise Rewards points for every dollar you spend on purchases,Has foreign transaction fees; no bonus categories for higher points.,None.,The Ameriprise World MasterCard information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
Amex EveryDay Credit Card from American Express,Amex EveryDay,The Amex EveryDay® Credit Card from American Express,"cash_back, favorite, starter",American Express,American Express,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/amex-everyday-credit-card/36503-10-0/?pznOfferCode=R16T-4IBAN4-2MTU-FSZ#FeeTable,https://www.americanexpress.com/us/credit-cards/card/amex-everyday/,https://www.nerdwallet.com/card-details/card-name/American-Express-Amex-EveryDay,"0% introductory APR for the first 15 months on balance transfers requested within 60 days of account opening.After that, your APR for those transactions and any other balance transfer requests, if we accept them, will be 14.74% to 25.74% based on your creditworthiness and other factors.",14.74% to 25.74%,25.74,26.99%,26.99%,26.99,29.99%,29.99%,29.99,"0% introductory APR for the first 15 months.After that, your APR will be 14.74% to 25.74%, based on your creditworthiness and other factors as determined at the time of account opening.",14.74% to 25.74%,25.74,"Your due date is at least 25 days after the close of each billing period. We will not charge you interest on purchases if you pay each month your entire balance (or if you have a plan outstanding, your balance adjusted for plans) by the due date. We will begin charging interest on cash advances and balance transfers on the transaction date.Plan Fee(Fixed Finance Charge) 0% introductory plan fee on each purchase moved into a plan during the first 15 months. After that, your plan fee will be up to 1.13% of each purchase moved into a plan based on the plan duration, the APR that would otherwise apply to the purchase and other factors.",25 days,,-1,-1,$0,$0,0.0,$0,$0,,"Either $5 or 3% of the amount of each cash advance, whichever is greater.",3% or $5,3.0,2.7% of each transaction after conversion to US dollars.,2.7%,2.7,Up to $38,$38,38.0,Up to $38,$38,38.0,,-1,-1,None,$0,0.0,"High rewards rate
No annual fee","High rewards rate
No annual fee",,None,recommended credit score690850good - excellent,690 to 850,690,850,"Earn 10,000 Membership Rewards® points after you use your new Card to make $1,000 in purchases in your first 3 months. Terms Apply","Earn 10,000 Membership Rewards® points after you use your new Card to make $1,000 in purchases in your first 3 months. ","Earn 10,000 Membership Rewards® points after you use your new Card to make $1,000 in purchases in your first 3 months.
Low intro APR: 0% for 15 months on purchases and balance transfers, then a variable rate, currently 14.74% to 25.74%.
$0 balance transfer fee. Balance transfers must be requested within 60 days from account opening.
2x points at US supermarkets, on up to $6,000 per year in purchases (then 1x); 1x points on other purchases.
Use your Card 20 or more times on purchases in a billing period and earn 20% more points on those purchases less returns and credits.
Over 1.5 million more places in the U.S. started accepting American Express® Cards in 2017.
No annual fee.
Terms Apply.
View Rates and Fees","Earn 10,000 Membership Rewards® points after you use your new Card to make $1,000 in purchases in your first 3 months.
Low intro APR: 0% for 15 months on purchases and balance transfers, then a variable rate, currently 14.74% to 25.74%.
$0 balance transfer fee. Balance transfers must be requested within 60 days from account opening.
2x points at US supermarkets, on up to $6,000 per year in purchases (then 1x); 1x points on other purchases.
Use your Card 20 or more times on purchases in a billing period and earn 20% more points on those purchases less returns and credits.
Over 1.5 million more places in the U.S. started accepting American Express® Cards in 2017.
No annual fee.
",1.0%,1.0%,0% on Purchases and Balance Transfers for 15 months,0% for 15 months,"APR: 14.74% - 25.74% Variable APRPenalty APR: 29.99%, VariableCash Advance APR: 26.99%, Variable",14.74% to 25.74%,$0,$0,the Lionel Messi of every day cash-back cards - it gets you to the goal of saving money.,No annual fee; High rewards rate; 0% A P R on purchases and balance transfers for 12 months,High penalty A P R.," Earn 10,000 Membership Rewards points after you use your new card to make $1,000 in purchases in your first 3 months. Terms Apply. ~10k points after spending $1000.~"," Use points for rewards from over 500 leading brands in travel, gift cards, merchandise, or entertainment. You can transfer points to our selection of frequent traveler programs.  You can use Membership RewardsÂ® points towards eligible charges you make on your Card, such as retail, dining, entertainment and more.","A rewards rate value of 1.0%.  2x points at US supermarkets on up to $6,000 per year in purchases. 1X points for every eligible dollar you spend. ~2x points at supermarkets. 1x points per dollar spent.~"
Banco Popular Avianca Vida,Banco Popular Card,Avianca Vida Visa® Card,"miles, travel",Banco Popular,Visa,https://www.lifemilescreditcard.com/WLI/avianca.aspx#vida-terms,https://www.lifemilescreditcard.com/WLI/avianca.aspx#!,,"Your APR will be from 15.49% to 25.49%, based on your creditworthiness.",15.49% to 25.49%,25.49,26.74%,26.74%,26.74,"29.99%This APR may be applied to your account if you miss a required Minimum Payment for a period of sixty (60) consecutive days from its Payment Due Date.How Long Will the Penalty APR Apply?:If your APR is increased for this reason, the Penalty Rate will remain in effect until the account becomes current and six (6) consecutive required Minimum Payments are received on or before the Payment Due Date.",29.99%,29.99,"APR will be from 15.49% to 25.49%, based on your creditworthiness.",15.49% to 25.49%,25.49,"Your payment due date is at least 25 days after the close of each billing cycle. You will not be charged interest from the time you purchased goods or services, if you pay your full account balance by the Payment Due Date. In the event you don’t pay the full account balance, while in Grace Period, you will not pay interest on the amount paid for that cycle. On subsequent cycles you will not have grace period until you pay your full account balance on time for two cycles in a row. Amounts related to certain offers will not be taken into consideration in determining the Grace Period, please refer to the offer terms and conditions. There is no grace period for Balance Transfers, Convenience Checks or Cash Advances and begin to accrue interest on the date they are posted and remain subject to Interest Charges until paid in full.",25 days,,-1,-1,$59 Annual Fee$0 Additional Card Fee (if applicable),$59,59.0,2% of the amount of each transaction (minimum $2; maximum $10),2% or $2,2.0,2% of the amount of each transaction (minimum $2; maximum $10),2% or $2,2.0,1% of each transaction in U.S. dollars for Visa,1%,1.0,Up to $10,$10,10.0,Up to $38,$38,38.0,,-1,-1,,-1,-1,,-1,,-1,,-1,-1,-1,,-1,,-1,,-1,,-1,,-1,,-1,"I know all about the Banco Popular Avianca Vida. It's ok, but ask me for better travel cards. "," Good for Avianca travel; Free baggage; 20,000 Bonus LifeMiles",Has foreign transaction fees; Has annual fee.,None.,The Banco Popular Avianca Vida information on redeeming is on their website. Click apply now to go to the site to check it out.,None.
