full_card_name,offer_link,toc_link,agg_link,toc_type
ABOC Platinum Rewards Card,https://www.aboc.com/personal-credit-cards.aspx,https://www.aboc.com/ABOC-Platinum-Disclosures.aspx,https://www.nerdwallet.com/card-details/card-name/Amalgamated-Bank-of-Chicago-Platinum-Rewards,regular
Air Force FCU Visa Platinum Card,https://goaffcu.com/home-page/accounts/cards/platinum-credit-card/#overview,https://goaffcu.com/wp-content/uploads/2018/06/Visa-Schumer_June2018.pdf,,pdf
Alaska Airlines Visa Signature Credit Card,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/#rewardsCcModule,https://www.bankofamerica.com/credit-cards/terms-and-conditions/?campaignid=4027208&productoffercode=2M&locale=en_US,https://www.nerdwallet.com/card-details/card-name/Bank-of-America-Alaska-Airlines-Signature,regular
Alaska Airlines Visa Signature Credit Card,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/#rewardsCcModule,https://www.bankofamerica.com/credit-cards/terms-and-conditions/?campaignid=4027208&productoffercode=2M&locale=en_US,https://www.nerdwallet.com/card-details/card-name/Bank-of-America-Alaska-Airlines-Signature,dynamic
Alliant Visa Platinum Card,http://www.alliantcreditunion.org/bank/visa-platinum-card,http://www.alliantcreditunion.org/images/uploads/files/VisaCreditCardDisclosure.pdf,,pdf
Amazon Signature Visa Card,https://creditcards.chase.com/credit-cards/amazon-rewards,https://applynow.chase.com/FlexAppWeb/pricing.do?card=FQWJ&page_type=appterms,,regular
American Express Gold Card for Ameriprise Financial,https://www262.americanexpress.com/dapply/partner/preacq/apf/preferred-rewards-gold-card/apf-006/carddetails#/cshop,https://www262.americanexpress.com/dapply/partner/preacq/apf/preferred-rewards-gold-card/apf-006/carddetails#/cshop,,pdf
American Express Platinum Card for Schwab,http://www.schwab.com/public/schwab/investing/accounts_products/credit_cards,https://www.americanexpress.com/us/credit-cards/card-application/apply/partner/print/personal-card/csb/charles-schwab-platinum-card/ep-ADAP?print=false,,pdf
Ameriprise World MasterCard,https://www.ameriprise.com/products-services/cash-cards-lending/credit-cards/world-mastercard/,https://www.barclaycardus.com/applycontent/TnCs.jsp?tc32894,,regular
Amex EveryDay Credit Card from American Express,https://www.americanexpress.com/us/credit-cards/card/amex-everyday/,https://www.americanexpress.com/us/credit-cards/card-application/apply/prospect/terms/amex-everyday-credit-card/36503-10-0/?pznOfferCode=R16T-4IBAN4-2MTU-FSZ#FeeTable,https://www.nerdwallet.com/card-details/card-name/American-Express-Amex-EveryDay,regular
